T,PO,PO2,PMg,PMgO,PSi,PSiO,PSiO2,PFe,PFeO,PAl,PAlO,PAlO2,PAl2O,PAl2O2,PCa,PCaO,PNa,PNa2,PNaO,PNa2O,PNa+,PK,PK2,PKO,PK2O,PK+,PTi,PTiO,PTiO2
1400,1.95E-12,4.13E-12,5.17E-12,3.48E-16,1.20E-23,5.05E-12,1.94E-14,5.46E-19,1.13E-20,5.71E-21,1.60E-19,8.26E-27,2.69E-26,2.01E-26,8.26E-18,9.82E-21,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.30E-28,5.46E-21,4.26E-17
1450,8.45E-12,1.71E-11,2.15E-11,2.37E-15,1.30E-22,2.12E-11,9.37E-14,3.64E-17,8.79E-19,5.02E-20,1.31E-18,1.22E-25,3.92E-25,2.89E-25,4.74E-17,8.11E-20,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.67E-27,4.47E-20,2.28E-16
1500,3.31E-11,6.44E-11,8.09E-11,1.42E-14,1.19E-21,8.11E-11,4.07E-13,1.30E-15,3.65E-17,3.80E-19,9.33E-18,1.50E-24,4.72E-24,3.42E-24,2.43E-16,5.82E-19,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.20E-26,3.14E-19,1.08E-15
1550,1.19E-10,2.23E-10,2.80E-10,7.55E-14,9.54E-21,2.85E-10,1.61E-12,3.26E-14,1.05E-15,2.50E-18,5.80E-17,1.56E-23,4.78E-23,3.42E-23,1.11E-15,3.66E-18,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.74E-25,1.92E-18,4.54E-15
1600,3.94E-10,7.12E-10,8.92E-10,3.61E-13,6.70E-20,9.25E-10,5.85E-12,5.45E-13,1.99E-14,1.46E-17,3.20E-16,1.39E-22,4.15E-22,2.93E-22,4.63E-15,2.05E-17,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.57E-24,1.03E-17,1.73E-14
1650,1.21E-09,2.12E-09,2.65E-09,1.57E-12,4.19E-19,2.80E-09,1.97E-11,6.48E-12,2.67E-13,7.62E-17,1.58E-15,1.08E-21,3.12E-21,2.18E-21,1.76E-14,1.03E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.18E-23,4.97E-17,6.00E-14
1700,3.50E-09,5.94E-09,7.37E-09,6.25E-12,2.35E-18,7.96E-09,6.17E-11,5.53E-11,2.55E-12,3.59E-16,7.10E-15,7.45E-21,2.07E-20,1.43E-20,6.18E-14,4.71E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.95E-22,2.16E-16,1.92E-13
1750,9.52E-09,1.57E-08,1.92E-08,2.29E-11,1.19E-17,2.13E-08,1.82E-10,3.79E-10,1.95E-11,1.54E-15,2.91E-14,4.57E-20,1.22E-19,8.35E-20,2.01E-13,1.96E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E-21,8.59E-16,5.70E-13
1800,2.45E-08,3.95E-08,4.76E-08,7.82E-11,5.53E-17,5.39E-08,5.03E-10,1.90E-09,1.09E-10,6.04E-15,1.10E-13,2.53E-19,6.44E-19,4.38E-19,6.10E-13,7.55E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.28E-21,3.13E-15,1.58E-12
1850,6.01E-08,9.49E-08,1.11E-07,2.49E-10,2.35E-16,1.30E-07,1.33E-09,8.68E-09,5.48E-10,2.18E-14,3.83E-13,1.27E-18,3.06E-18,2.08E-18,1.72E-12,2.68E-14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.37E-20,1.05E-14,4.14E-12
1900,1.41E-07,2.18E-07,2.48E-07,7.44E-10,9.24E-16,2.98E-07,3.31E-09,3.11E-08,2.17E-09,7.36E-14,1.25E-12,5.85E-18,1.33E-17,9.03E-18,4.62E-12,8.91E-14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.71E-20,3.31E-14,1.02E-11
1950,3.17E-07,4.84E-07,5.29E-07,2.10E-09,3.38E-15,6.57E-07,7.92E-09,9.80E-08,7.50E-09,2.31E-13,3.82E-12,2.49E-17,5.33E-17,3.61E-17,1.17E-11,2.77E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.68E-19,9.73E-14,2.40E-11
2000,6.83E-07,1.03E-06,1.09E-06,5.62E-09,1.16E-14,1.39E-06,1.81E-08,2.60E-07,2.17E-08,6.88E-13,1.10E-11,9.83E-17,1.99E-16,1.35E-16,2.85E-11,8.20E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E-18,2.71E-13,5.39E-11
2050,1.42E-06,2.10E-06,2.16E-06,1.43E-08,3.73E-14,2.83E-06,3.97E-08,6.41E-07,5.84E-08,1.94E-12,3.02E-11,3.63E-16,6.94E-16,4.69E-16,6.58E-11,2.29E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.32E-18,7.13E-13,1.16E-10
2100,2.84E-06,4.12E-06,4.17E-06,3.50E-08,1.14E-13,5.55E-06,8.32E-08,1.35E-06,1.33E-07,5.22E-12,7.91E-11,1.26E-15,2.30E-15,1.55E-15,1.49E-10,6.16E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.04E-11,1.30E-23,2.15E-14,8.78E-20,4.43E-10,1.36E-17,1.80E-12,2.40E-10
2150,5.49E-06,7.86E-06,7.77E-06,8.18E-08,3.32E-13,1.06E-05,1.70E-07,2.82E-06,2.98E-07,1.34E-11,1.97E-10,4.10E-15,7.18E-15,4.81E-15,3.21E-10,1.56E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.43E-09,4.97E-21,5.87E-13,2.27E-17,2.70E-09,4.06E-17,4.34E-12,4.79E-10
2200,1.03E-05,1.45E-05,1.41E-05,1.83E-07,9.23E-13,1.97E-05,3.36E-07,5.54E-06,6.28E-07,3.30E-11,4.73E-10,1.27E-14,2.13E-14,1.42E-14,6.67E-10,3.80E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.11E-09,1.15E-19,3.88E-12,3.61E-16,8.05E-09,1.15E-16,1.01E-11,9.27E-10
2250,1.88E-05,2.60E-05,2.48E-05,3.96E-07,2.46E-12,3.58E-05,6.44E-07,1.03E-05,1.25E-06,7.80E-11,1.09E-09,3.72E-14,6.02E-14,3.99E-14,1.34E-09,8.89E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.30E-08,1.13E-18,1.64E-11,2.48E-15,1.91E-08,3.13E-16,2.25E-11,1.74E-09
2300,3.34E-05,4.55E-05,4.26E-05,8.27E-07,6.29E-12,6.33E-05,1.20E-06,1.85E-05,2.38E-06,1.78E-10,2.42E-09,1.04E-13,1.63E-13,1.08E-13,2.62E-09,2.00E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.96E-08,7.09E-18,5.51E-11,1.11E-14,4.00E-08,8.14E-16,4.86E-11,3.19E-09
2350,5.79E-05,7.76E-05,7.12E-05,1.67E-06,1.55E-11,1.10E-04,2.19E-06,3.21E-05,4.38E-06,3.93E-10,5.21E-09,2.79E-13,4.23E-13,2.78E-13,4.93E-09,4.32E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.36E-07,3.50E-17,1.61E-10,3.93E-14,7.80E-08,2.04E-15,1.02E-10,5.69E-09
2400,9.78E-05,1.29E-04,1.17E-04,3.28E-06,3.68E-11,1.85E-04,3.87E-06,5.27E-05,7.59E-06,8.41E-10,1.09E-08,7.17E-13,1.06E-12,6.91E-13,9.18E-09,9.14E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.66E-07,1.25E-16,3.97E-10,1.02E-13,1.39E-07,4.93E-15,2.07E-10,9.89E-09
2450,1.62E-04,2.10E-04,1.88E-04,6.22E-06,8.48E-11,3.07E-04,6.74E-06,8.57E-05,1.30E-05,1.74E-09,2.19E-08,1.77E-12,2.56E-12,1.65E-12,1.64E-08,1.85E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.05E-07,4.27E-16,9.45E-10,2.58E-13,2.41E-07,1.15E-14,4.10E-10,1.69E-08
2500,2.63E-04,3.35E-04,2.95E-04,1.15E-05,1.89E-10,5.02E-04,1.15E-05,1.35E-04,2.17E-05,3.50E-09,4.31E-08,4.24E-12,5.95E-12,3.82E-12,2.85E-08,3.63E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.96E-07,1.27E-15,2.08E-09,5.75E-13,4.02E-07,2.60E-14,7.90E-10,2.83E-08
2550,4.18E-04,5.25E-04,4.56E-04,2.07E-05,4.10E-10,8.04E-04,1.92E-05,2.08E-04,3.49E-05,6.87E-09,8.26E-08,9.77E-12,1.34E-11,8.57E-12,4.87E-08,6.94E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.49E-06,3.36E-15,4.27E-09,1.14E-12,6.43E-07,5.71E-14,1.49E-09,4.64E-08
2600,6.53E-04,8.07E-04,6.94E-04,3.66E-05,8.61E-10,1.26E-03,3.13E-05,3.10E-04,5.45E-05,1.32E-08,1.54E-07,2.18E-11,2.94E-11,1.86E-11,8.23E-08,1.30E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.34E-06,7.89E-15,8.17E-09,2.05E-12,9.90E-07,1.22E-13,2.73E-09,7.45E-08
2650,1.00E-03,1.22E-03,1.03E-03,6.30E-05,1.76E-09,1.95E-03,5.05E-05,4.57E-04,8.39E-05,2.45E-08,2.82E-07,4.73E-11,6.25E-11,3.94E-11,1.34E-07,2.37E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.61E-06,1.78E-14,1.52E-08,3.58E-12,1.50E-06,2.52E-13,4.92E-09,1.18E-07
2700,1.51E-03,1.81E-03,1.53E-03,1.07E-04,3.50E-09,2.96E-03,7.90E-05,6.53E-04,1.25E-04,4.49E-08,5.04E-07,9.95E-11,1.30E-10,8.10E-11,2.20E-07,4.28E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.29E-06,3.65E-14,2.68E-08,5.69E-12,2.20E-06,5.10E-13,8.65E-09,1.83E-07
2750,2.26E-03,2.69E-03,2.18E-03,1.75E-04,6.90E-09,4.52E-03,1.26E-04,9.37E-04,1.88E-04,7.97E-08,8.81E-07,2.05E-10,2.60E-10,1.62E-10,3.36E-07,7.24E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.79E-06,7.59E-14,4.73E-08,9.33E-12,3.20E-06,1.01E-12,1.50E-08,2.84E-07
2800,3.33E-03,3.90E-03,3.09E-03,2.82E-04,1.32E-08,6.72E-03,1.94E-04,1.31E-03,2.72E-04,1.39E-07,1.51E-06,4.09E-10,5.10E-10,3.17E-10,5.18E-07,1.23E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E-05,1.44E-13,7.91E-08,1.41E-11,4.54E-06,1.94E-12,2.55E-08,4.32E-07
2850,4.83E-03,5.61E-03,4.30E-03,4.46E-04,2.47E-08,9.94E-03,2.97E-04,1.80E-03,3.91E-04,2.38E-07,2.54E-06,8.01E-10,9.76E-10,6.05E-10,7.74E-07,2.01E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.51E-05,2.63E-13,1.29E-07,2.06E-11,6.33E-06,3.67E-12,4.27E-08,6.49E-07